Article,Summary
"The Delhi High Court recently addressed a suit against Wikimedia Foundation, specifically concerning statements made on Wikipedia pages. The court observed that 'people at large have a tendency to accept statements made on [Wikipedia’s] web pages…as gospel truth'. In a 2024 hearing, the court noted that ANI had filed suit, and sought the identities of volunteers who edited the ANI page, whose anonymity the platform allows to protect them from retaliation. The court emphasized that 'We will close your business transaction here. We will ask the government to block Wikipedia. If you don't like India, please don't work in India.' The Foundation had appealed for its right to safe harbour under the Information Technology Act 2000. The court, however, ruled in favor of the plaintiff, stating that 'statements on the page pertaining to the plaintiff are all sourced from…editorials and opinionated pages'. This raises concerns about the reliability and impartiality of Wikipedia, as it relies on volunteers who may express personal opinions rather than objective facts. The court's decision highlighted a problem with the elements of truth in an open-source platform, where opinions are often mistaken for facts. It also raises questions about accountability when a platform claims neutrality but allows anonymous edits that may reflect bias. The court expressed concern for ANI's credibility, noting that volunteers who edited the ANI page did not adhere to Wikipedia's guidelines. This ruling suggests that the Foundation's ability to maintain a democratic structure that allows Wikipedia to be popular in India is limited by the country's tolerance for certain opinions. The court's ruling will likely influence other collaborative efforts in India, potentially leading to increased scrutiny and regulation of online platforms. The judgment underscores the need for greater transparency and accountability in user-generated content, especially when it purports to be factual. It also suggests that the free flow of information on such platforms may need to be balanced with stricter guidelines to ensure accuracy and prevent the spread of misinformation.","The Delhi High Court's ruling against Wikimedia Foundation regarding a suit filed by ANI highlights concerns about the reliability and impartiality of Wikipedia. The court emphasized that statements on Wikipedia pages, often treated as truth, were sourced from 'editorials and opinionated pages'. This raises questions about the platform's volunteer-based editing model and the balance between anonymity and accountability. The judgment suggests a need for stricter guidelines to ensure accuracy and prevent the spread of misinformation on platforms that claim neutrality but allow user-generated content. The ruling is expected to influence future collaborative efforts and the regulation of online platforms in India, emphasizing that the 'free flow of information' must be balanced with truth and accountability."
"On World Health Day (April 7), as nations reflect on the foundations of human well-being, India stands with a transformative lesson: health and sanitation are not separate chapters, but are two sides of a coin. Under the leadership of Prime Minister Narendra Modi, India has undertaken a sanitation and water revolution that has not only changed the way we live but also how we thrive. Rural missions that made a difference: The story of modern India cannot be told without acknowledging the contribution of the Swachh Bharat Mission (SBM) Grameen and the Jal Jeevan Mission (JJM). These programmes are not just about toilets and tap water alone. They represent a shift in the soul of the nation. These rural missions symbolise dignity, equity, and, above all, health. When the Prime Minister launched the SBM from the ramparts of the Red Fort in 2014, he ignited a movement that has touched every Indian household, making it a people’s movement – a Jan Andolan that was anchored in behavioural change and intergenerational equity. By 2019, India had declared itself Open Defecation Free (ODF) and taken significant steps towards achieving SDG 6.2 in its access to safely managed services including drinking water, sanitation and hygiene for all by 2030 and also ending open defecation, 11 years ahead of time. The SBM has been a powerful public health intervention. A World Health Organization (WHO) report estimated that over three lakh diarrhoeal deaths were averted. The Gates Foundation reported in 2017 that there were 58% higher cases of stunting among children in non ODF areas. A UNICEF study (2017) found that 93% of women felt safer after getting a toilet at home and ODF families saved ₹50,000 annually in healthcare costs, ensuring higher savings. The SBM has improved environmental outcomes. Groundwater contamination in ODF villages is 12.7 times less likely, ensuring long-term health resilience in rural communities. A (2024) Nature study estimated that 60,000 to 70,000 child deaths are prevented every year due to improved sanitation access. These outcomes are not incidental, they are the result of sustained political commitment, inter-ministerial coordination, and community ownership. By 2019, the Jal Jeevan Mission was launched to ensure every rural household receives clean drinking water through a tap connection. This is more than infrastructure; it is an investment in human potential and in achieving socio-economic impact. Research by Nobel Laureate Dr. Michael Kremer has shown that nearly 30% infant deaths can be averted when water is made available to families through drinking and 1.36 lakh child deaths (under five years) can be prevented with universal tap coverage. WHO estimates suggest that the JJM could avert four lakh diarrhoeal deaths with safe drinking water supply at home. And, 5.5 crore hours are saved every day, mostly by women, who had earlier spent time fetching water. State Bank of India research findings that the availability of safe liquid increases to 39,000 in women’s participation by women in agriculture and allied activities. The Sujal and Swachh Gaon campaign, launched in integrate water, sanitation, and hygiene at the village level, has helped advanced communities. Thousands of villages have already been declared Swachh Sujal, which is an important marker of holistic public health transformation, improved safe sanitation and systems, also leading to a rollout of pocket-sized infrastructure in rural households, reinforcing the preventive health-care model. On the ground: Sanitation and water are the first line of defence. Public health. They are the invisible shield that protects communities from disease, women from indignity, and children from lost opportunity. A healthy nation is a productive nation. A clean nation is a resilient one. Today, more than 80% of India’s rural households have tap water connections. Over 96% villages have been declared as ODF Plus, more than 5.07 lakh villages have solid waste management systems, and 5.23 lakh villages have liquid waste management systems in place. Women are not just beneficiaries, they are also water testers, sanitation entrepreneurs, and local leaders. Over 2.45 million women have been trained to test water quality, and women-led Self Help Groups are managing sanitation assets, recycling centres, and even sanitary napkin production. This is the story of Bharat, a place where no child misses school because of a lack of water, no woman walks miles with a pot on her head, and no family loses a loved one to preventable illness. The biggest health is the journey to dignity, a toilet brings privacy. Clean water brings opportunity. Waste management protects the environment. Each link in the sanitation chain contributes directly to a healthier, safer India. The lessons we have learnt highlight the importance of inter-ministerial collaboration which is non-negotiable. It is about convergence: Since, health is not the concern of one Ministry alone, it is the outcome of converged action across water, sanitation, nutrition, education, and rural development. We must recognise that it’s not magic; it’s not insular, it is global. Our innovations, community-led models, and use of technology whether through real-time dashboards, Geo-tagging or Agri-geo Agri-Research from (or to bio-digesters) biogas plants to plastic waste management units are blueprints for the world, especially the Global South. Lastly, we must continue to work through a mutual understanding that every rupee invested in water, sanitation and hygiene (WASH) yields manifold returns in health, productivity, gender equity, and environmental sustainability. India is committed towards progressing forward on the United Nations Sustainable Development goals and the World Health Day, which acknowledge and remember that good health begins not in hospitals, but in homes with access to clean water, safe sanitation, and a shared resolve. As we move forward, India remains committed to sharing its journey, collaborating globally, and co-creating a cleaner, healthier, and more resilient world.","India has achieved a transformative shift in health and sanitation through the Swachh Bharat Mission (SBM) Grameen and Jal Jeevan Mission (JJM). These initiatives have led to India being declared Open Defecation Free (ODF), significant reductions in diarrhoeal deaths, improved child health, and enhanced safety and savings for women. The success is attributed to sustained political commitment and community ownership. The JJM has provided tap water connections to over 80% of rural households, preventing millions of illnesses and saving women countless hours. Women are also actively involved in water testing and managing sanitation assets. The article emphasizes that health is a result of converged action across multiple ministries and that India’s innovative models are blueprints for the world. Ultimately, investments in Water, Sanitation, and Hygiene (WASH) yield significant returns in health, productivity, gender equity, and environmental sustainability, reflecting India's commitment to global sustainable development goals."
"Viveka murder case: ‘Death of witnesses a cause for concern’ The article discusses the death of 70-year-old watchman Rangan, a key witness in the murder case of former MP, V.S. Vivekananda Reddy. Chief Minister N. Chandrababu Naidu expressed concern over the suspicious deaths of witnesses related to the case. He discussed this issue with his Cabinet colleagues and highlighted the growing influence of criminals in politics. He referred to YSRCP president Y.S. Jagan Mohan Reddy and emphasized that politics had become a shield for criminals. Naidu called for immediate action to control organized crime in the state, advising his ministers to be cautious and not to ignore the suspicious death of the watchman.","Chief Minister N. Chandrababu Naidu expressed concerns about the suspicious deaths of witnesses in the Viveka murder case, discussing the issue with his Cabinet. He criticized the growing influence of organized crime in politics, particularly pointing out Y.S. Jagan Mohan Reddy's role, and urged his ministers to remain vigilant and counter false narratives."
"South Africa's Wiaan Mulder on Thursday replaced Brydon Carse in Sunrisers Hyderabad squad for the upcoming Indian Premier League after the English all-rounder sustained a toe injury. The 27-year-old Proteas all-rounder, who featured in Wednesday's semifinal of the Champions Trophy against New Zealand, has joined the 2016 winners and last year's finalist SRH for 75 lakh. 'Carse is ruled out of the IPL 2025 due to an injury and his replacement Mulder, who is an all-rounder, will join SRH for 75 Lakh,' the IPL said in a release. Mulder has so far played 18 Tests, 25 ODIs and 11 T20Is for South Africa. Carse, who was a member of England's squad in the Champions Trophy, had suffered a toe injury during their contest against Australia.","South Africa's Wiaan Mulder has replaced Brydon Carse in the Sunrisers Hyderabad squad for IPL 2025 after Carse sustained a toe injury. Mulder, an all-rounder, has joined the squad for ₹75 lakh. Carse, a member of England's Champions Trophy squad, will miss the IPL due to his injury."
"China slams ‘arbitrary tariffs’ imposed by US, accuses it of ‘meeting good with evil’ Chinese Foreign Minister Wang Yi said China will continue to retaliate for the United States’ 'arbitrary tariffs' and accused Washington of 'meeting good with evil' in a press conference on Friday on the sidelines of the country’s annual parliamentary session. Mr. Wang said China's efforts to help the US contain its fentanyl crisis have been met with punitive tariffs, which are straining their ties. 'No country should fantasize that it can suppress China and maintain good relations at the same time,' Mr. Wang said. 'Such two-faced acts are not good for the stability of bilateral relations or for building mutual trust.' The US this week levied duties against China on chemicals and materials accused of enabling fentanyl production, which China says it has made efforts to curb. Despite this, China maintains that the US’s drug crisis is a domestic issue, not one caused by Chinese exports.","China's Foreign Minister Wang Yi criticized the US for imposing 'arbitrary tariffs' and accused it of retaliating against China's efforts to help combat the fentanyl crisis. He argued that these tariffs harm bilateral relations and stability. Despite China’s efforts to control the export of chemicals used in fentanyl production, Wang emphasized that the US's drug crisis is a domestic issue, not one caused by China."
"Harleen Deol has been a key player in India's scheme of things in the T20 format since July 2023. On the evidence of Friday’s encounter in the Women’s Premier League, the 26-year-old from Chandigarh is set to make a mark in the shortest version of the game. Harleen made an impressive comeback in December, and her form continued in this match. Against Delhi Capitals at the Brabourne Cricket Stadium, Harleen played a match-winning knock, scoring an unbeaten 70 off 49 balls to guide Gujarat Giants past the finish line in pursuit of 178 for victory. The Giants reached the target in 19 overs with five wickets in hand. Harleen’s innings overshadowed Meg Lanning's swashbuckling 92 for Delhi Capitals. The chase was set up by a crucial partnership between Beth Mooney and Harleen, which was worth 85 runs for the second wicket. Even when Mooney was dismissed for 44, Gujarat Giants remained calm. Ashleigh Gardner contributed with some big shots, and Harleen finished off the game with some impressive boundaries, including two sixes. For Delhi Capitals, Lanning’s batting was the highlight, but her only lapse came on 47, when she couldn't hang on to a catch. Despite her efforts, it was Gujarat Giants who emerged victorious in a tense match.","Harleen Deol played a match-winning innings to lead Gujarat Giants to a tense victory over Delhi Capitals in the Women’s Premier League. Harleen scored an unbeaten 70 off 49 balls, guiding her team to chase down Delhi Capitals' target of 178 in 19 overs with five wickets in hand. Her partnership with Beth Mooney (44) set a solid foundation for the chase. Despite a powerful 92 from Meg Lanning of Delhi Capitals, Harleen's calm and steady batting in the latter stages of the chase ensured Gujarat's victory."
"Karnataka's 16th State Budget, presented by Chief Minister Siddaramaiah in the Legislative Assembly, has an outlay of ₹409 lakh crore. The budget doesn't introduce new taxes except for an increase in the professional tax payable by salaried employees in the private sector. It focuses on balancing economic growth and welfare, with special emphasis on the upliftment of women and children. A significant portion of the budget, ₹2,50,700 crore, has been allocated for women and children-centric programs, accounting for 38% of the total budget. Additionally, the budget proposes financial support for various schemes aimed at promoting private sector investment, with resources dedicated to ensuring opportunities for the poor and needy. The budget also includes hikes in allowances for guest lecturers, ASHA and Anganwadi workers, cooks in government schools, and religious community leaders. Moreover, the government has allocated ₹4,500 crore for minority communities and ₹1,300 crore for the OBC category.","Karnataka's 16th State Budget, presented by Chief Minister Siddaramaiah, focuses on balancing economic growth and welfare. It allocates ₹2,50,700 crore for women and children programs and increases financial support for private sector investment and the poor. The budget also includes hikes in allowances for workers, religious community leaders, and provides ₹4,500 crore for minority communities and ₹1,300 crore for OBCs. There are no new taxes except for an increase in professional tax for salaried employees in the private sector."
"In the first leg of the Europa League round of 16 on Thursday, Manchester United played to a 1-1 draw away against Real Sociedad, while Tottenham Hotspur suffered a 1-0 loss to Dutch side AZ Alkmaar. Manchester United initially took the lead through Joshua Zirkzee's shot from just outside the area in the 57th minute. However, Real Sociedad equalized after Bruno Fernandes was penalized for a handball in the box, leading to a penalty from Mikel Oyarzabal. Despite Manchester United's strong play, they couldn’t hold their lead, and the match ended in a draw. On the other hand, Tottenham struggled in their match against AZ Alkmaar, with the lone goal coming from a penalty by the Dutch side, leaving Tottenham in a difficult position heading into the second leg. Manchester United goalkeeper Andre Onana made several crucial saves to keep his team alive in the tie, and despite the disappointing draw, the match remains finely balanced ahead of next week's second leg.","Manchester United drew 1-1 with Real Sociedad in the first leg of their Europa League round of 16 match. Joshua Zirkzee scored for United, but Mikel Oyarzabal equalized with a penalty after Bruno Fernandes' handball. Tottenham Hotspur lost 1-0 to AZ Alkmaar in the other match, with a penalty condemning them to defeat. Despite the draw, Manchester United's goalkeeper Andre Onana made crucial saves, keeping their hopes alive for the second leg."
"The Federation Cup wrestling tournament begins today at the Lovely Professional University campus in Jalandhar. The event marks the resolution of a stand-off between the Wrestling Federation of India (WFI) and the Railways Sports Promotion Board (RSPB) over the participation of wrestlers employed with the Railways. Due to the withdrawal of government recognition for the WFI, many top Railways wrestlers were excluded from previous competitions, including the National Championships and National Games. However, over 10 of these wrestlers, including Olympian Antim Panghal and other medalists like Sogar Jaglan, Sujeet Kalal, Yash Tushir, and Kuldeep Malik, have entered their names for the Federation Cup, representing their respective states. The two-day event will serve as one of the qualifying competitions for wrestlers to earn eligibility to participate in the trials for the Asian Championships, which are scheduled to take place in Amroha from March 25 to 30.","The Federation Cup wrestling tournament starts in Jalandhar, with several top Railways wrestlers, including Olympian Antim Panghal, competing after a stand-off between the Wrestling Federation of India (WFI) and Railways Sports Promotion Board (RSPB). The event will serve as a qualifying competition for the Asian Championships trials, scheduled for March 25-30."
"Union Home Minister Amit Shah on Friday urged Tamil Nadu Chief Minister M.K. Stalin to consider offering medical and engineering education in Tamil. Speaking at the 56th CISF Raising Day event at the newly renamed Rajaditya Cholan Recruit Training Centre (RTC) in Ranipet district, Shah emphasized that several states in India already provide courses in their regional languages. This suggestion came at a time when Mr. Stalin had expressed concerns that the Union government was attempting to impose Hindi in southern states through the National Education Policy. Shah highlighted the importance of teaching medical and technical courses in Tamil, stating that it would benefit Tamil medium students while also strengthening Tamil as the mother tongue. Tamil Nadu had previously introduced Tamil medium BE/BTech courses in 2010 under the leadership of the then Chief Minister M. Karunanidhi. In his address, Shah praised Tamil Nadu for its contributions across various sectors, from administrative reforms and educational achievements to promoting spiritual growth and unity. He acknowledged the state’s efforts in strengthening Indian culture in every field.","Union Home Minister Amit Shah urged Tamil Nadu Chief Minister M.K. Stalin to introduce medical and engineering education in Tamil, a suggestion made in the context of promoting regional languages in education. Shah's remarks came amid concerns over the imposition of Hindi in southern states. He praised Tamil Nadu for its role in preserving Indian culture and achieving excellence in various sectors. Shah’s suggestion aligns with the state's previous initiative to offer Tamil medium BE/BTech courses, introduced in 2010."
"Russia launched a “massive” drone and missile attack on Ukrainian energy facilities on Friday, as President Volodymyr Zelensky renewed calls for a mutual halt to aerial attacks on critical infrastructure. The call from Mr. Zelensky to halt aerial bombardments on energy facilities builds on growing rhetoric from Kyiv, Washington, and Moscow on halting the war, now in its fourth year. The Ukrainian leader said the first steps to establishing real peace should be stopping both Russian and Ukrainian aerial and naval attacks. “Ukraine is ready to go the way of peace, and it is Ukraine that wants peace from the very first second of this war. The task is to force Russia to stop the war,” he wrote in a post on social media. The Russian Defence Ministry confirmed on Friday it had carried out precision strikes on energy facilities, claiming they support the Ukrainian military. Russia is “targeting facilities linked to Ukraine’s military-industrial complex,” Kremlin spokesperson Dmitry Peskov said. The Ukrainian Air Force reported that Russia had launched at least 58 missiles and nearly 200 drones, damaging energy facilities across the country, from Kharkiv in the east to Ternopil in the west. Firefighters were battling a blaze on streets lined with debris in the Kharkiv region, as images released by the emergency services showed. The Kremlin responded to earlier calls by Mr. Zelensky for a halt to aerial attacks by ruling out any temporary ceasefire in Ukraine. Mr. Zelensky’s allies abroad have voiced support for his truce proposal. On Friday, Turkish leader Recep Tayyip Erdogan, who recently hosted the Ukrainian leader, also gave it his backing.","President Volodymyr Zelensky renewed his call for a mutual halt to aerial attacks on critical infrastructure, following a massive Russian drone and missile strike on Ukrainian energy facilities. Zelensky emphasized the need to stop both Russian and Ukrainian aerial and naval attacks as the first steps toward peace. Russia confirmed precision strikes on energy facilities, claiming they support Ukraine's military. Despite significant damage caused by at least 58 missiles and nearly 200 drones, the Kremlin rejected any temporary ceasefire, while Zelensky's truce proposal received international backing, including support from Turkish President Recep Tayyip Erdogan."
"Congress leader Rahul Gandhi began his two-day Gujarat visit with a focus on the 2027 Assembly elections, where he hinted at a major overhaul in the party's State unit and pledged to implement a strong plan to defeat the BJP. Upon arrival in Ahmedabad, the Leader of the Opposition (LoP) in the Lok Sabha visited the State Congress headquarters in Paldi, meeting senior party leaders, including former State Congress presidents and former LoPs in the Assembly. He later attended a meeting with members of the State political affairs committee. Gandhi will address party workers in Ahmedabad on Saturday. In a statement, the Congress mentioned that Gandhi had earlier asserted that the party would win the 2027 Gujarat Assembly elections, and his visit was aimed at kickstarting preparations for the polls. Gujarat, the home state of Prime Minister Narendra Modi, has been under BJP rule since 1995.","Rahul Gandhi visited Gujarat, hinting at a major overhaul in the Congress party's State unit ahead of the 2027 Assembly elections. He met with senior party leaders and attended meetings to devise a strategy to challenge the long-standing BJP rule in the state. Gandhi's visit aims to lay the groundwork for Congress's victory in the upcoming elections."
"During a legislative session on Friday, a light-hearted moment unfolded when N. Lokesh, a Member of the Legislative Assembly, made humorous comments about the health of the Water Resources Minister, Nimals Ramamidy. Lokesh expressed his concern about the Minister, who was reportedly suffering from a fever but was still attending the session. In a witty exchange, Lokesh addressed the Deputy Speaker, K. Raghu Ramakrishna, and jokingly asked whether they should suspend the Minister from the session due to his condition. This remark caused the entire House to burst into laughter. Later, when Lokesh crossed paths with the Minister in the Assembly, he again teased him about his recovery. Lokesh joked about how the Minister would recover while holding papers in one hand and saline in the other. The Water Resources Minister responded, saying he was feeling better than before and was doing fine. Lokesh continued his playful banter, suggesting that he could monitor the Minister’s sleep with a wristwatch, keeping the mood light in the Assembly.","N. Lokesh made humorous comments about the health of Water Resources Minister Nimals Ramamidy during a legislative session, joking about suspending him due to his fever. The remark caused laughter in the House. Later, Lokesh continued his playful banter, teasing the Minister about recovering with saline and papers in hand and even suggesting monitoring his sleep with a wristwatch."
"Water Resources Minister Nimmala Ramanaida said on Friday that the previous YSR Congress Party (YSRCP) government did a great injustice to the Gorakallu reservoir in Pangan constituency in Kurnool district. Replying to a question raised by Panyam MLA Gauru Charitha Reddy during the Question Hour in the Legislative Assembly, he explained that the TDP government in 2014-18 undertook works for the reservoir with a budget of ₹600 crore. During the TDP term, 95% of the works had been completed. However, the YSRCP government, in July, discontinued the urgent works for the reservoir due to a lack of allocated funds. Minister Ramanaida further explained that the Gorakallu reservoir was crucial for the Galeru-Nagari Sujala Sravant, Chandikoca, Avuledu, Chickavathi, and Paidipem reservoirs. He criticized former Chief Minister Y.S. Jagan Mohan Reddy for not recognizing Gorakallu's importance, and for closing the urgent works, making it impossible to carry out further work for the next five years. Ramanaida added that after the TDP's term, the current government reviewed the pending works, allocated ₹1.02 crore for maintenance this year, and prepared proposals for the remaining urgent works, which will be undertaken once funds are sanctioned.","Minister Nimmala Ramanaida criticized the YSRCP government for neglecting the Gorakallu reservoir. He stated that the previous TDP government had completed 95% of the works on the reservoir, but the YSRCP government discontinued them due to insufficient funds. Ramanaida emphasized the importance of the Gorakallu reservoir for other regional water systems and criticized former Chief Minister Y.S. Jagan Mohan Reddy for failing to recognize its significance. He added that proposals for the remaining urgent works were prepared, and maintenance funds were allocated."
"The Andhra Pradesh State Cabinet, at its meeting chaired by Chief Minister N. Chandrababu Naidu on Friday, approved the Andhra Pradesh Mineral Development Corporation's (APMDC) proposal to raise ₹79,000 crore through the issuance of senior secured fixed, listed, redeemable, non-convertible debentures. According to sources, the Cabinet also approved the establishment of a health nerve center in the Kanampam constituency in Chittoor district with an investment of ₹4 crore. Additionally, the proposal for the creation of 372 healthcare jobs in the Central Pool was cleared. Graduate doctors would be appointed as per the proposal. The Cabinet also gave approval for the Andhra Pradesh Tourism Land allocation policy aimed at developing tourism in the state. Another proposal for the allocation of 9 acres of land in the Havelock area for the development of a health tourism project was approved. Furthermore, the Cabinet also approved the allocation of land in Kakinada district to AITUC for the development of a township project. The Cabinet also sanctioned 726 acres of government land in the Parvathipuram-Srikakulam district for development by Shriram Pradeshi Inductia Corporation under a new SNE project.","The Andhra Pradesh Cabinet, led by CM N. Chandrababu Naidu, approved a proposal to raise ₹79,000 crore through debentures for APMDC. The Cabinet also approved projects including the establishment of a health nerve center in Chittoor, creation of healthcare jobs, and a tourism land allocation policy. Additionally, land allocations were made for tourism and township development projects in Kakinada and Havelock. The Cabinet also sanctioned land for development projects in Srikakulam district."
"A ballet between the elephant and the dragon contributing to each other's success is the “only right choice” for India-China relations, Foreign Minister Wang Yi said on Friday as he acknowledged positive strides in bilateral ties after the end of the military stand-off in eastern Ladakh. 'There is every reason for us to support each other rather than undermine each other or undercut each other,' he said at his annual press conference. The successful meeting between President Xi Jinping and Prime Minister Narendra Modi in Kazan last October provided strategic guidance for the development of bilateral ties, Mr. Wang said. After that, 'both sides have earnestly followed through on the important common understandings of our leaders, strengthened exchanges and practical cooperation at all levels, and achieved a series of positive outcomes,' he added. In a reference to India stressing the importance of peace at borders for the development of relations, Mr. Wang reiterated China's repeated stand that differences over the boundary or on other issues should not affect bilateral ties. As important members of the Global South, China and India have the responsibility to take a lead in opposing hegemonism and power politics, he said, in an apparent reference to the US. The two countries must uphold the basic norms governing international relations, he added. 'If China and India join hands, the prospect of greater democracy in international affairs and the stronger Global South will improve greatly,' he said.","Foreign Minister Wang Yi acknowledged positive developments in India-China relations after the military stand-off in Ladakh. He emphasized the importance of supporting each other rather than undermining one another. He referred to the meeting between Presidents Xi Jinping and Narendra Modi last October, which set the tone for future relations. Wang reiterated China's stance that border issues should not affect bilateral ties and highlighted the responsibility of both countries to oppose hegemonism. He also expressed the potential for greater democracy in international affairs if China and India work together."
"On the eve of International Women’s Day, Defence Minister Rajnath Singh on Friday, via videoconference, interacted with the two women Naval officers - Lt. Cdr. Dilna K and Lt. Cdr. Roopa A - undertaking global circumnavigation in the sailing vessel INSV Tarini under Navika Sagar Parikrama II. 'During the interaction, the Defence Minister lauded the courage, dedication, and resilience of the NSP4L crew, who have embarked on this challenging voyage as part of continued efforts towards enhancing maritime endurance missions,' it said in a statement. He congratulated the crew for the remarkable milestones of crossing Point Nemo - the world’s most isolated waters - and sailing through the Drake Passage, one of the most treacherous water bodies. The Minister reaffirmed the government's commitment to expanding opportunities for women in the defence sector,","Defence Minister Rajnath Singh interacted with Lt. Cdr. Dilna K and Lt. Cdr. Roopa A, the women officers undertaking a global circumnavigation in the INSV Tarini under Navika Sagar Parikrama II. He praised their courage and resilience, congratulating them on their achievements in crossing Point Nemo and sailing through the Drake Passage. Singh also emphasized the government's commitment to expanding opportunities for women in the defence sector."
"The Federation of Minor Minerals Industry (FEMMI) organized a national-level conference on opportunities and challenges in minor mineral mining in India on Friday. During the conference, NITI Aayog member VK Saraswat emphasized the importance of including minor minerals in the national framework as part of Atmanirbhar Bharat 2047. He highlighted that minor minerals contribute more to the Gross Domestic Product (GDP) and Gross Value Added (GVA) than major minerals but have not received enough attention. He called for a National Minor Mineral Policy and advocated for a ‘one nation, one minor mineral policy’ and ‘one nation, one mineral, one royalty’ policy to provide a boost to the sector. Saraswat also mentioned that NITI Aayog had deliberated on the necessary changes, which were discussed at the Inter-Ministerial Committee. He supported amendments to the window system to prevent delays in obtaining necessary permissions. Professor R.M. Bhattacharjee from IITISM, representing the Ministry of Mines, shared that actions were being taken to introduce a State Mineral Index and star ratings for states. Bhattacharjee moderated a panel discussion with industry experts on mineral royalty laws. FEMMI's secretary-general, G.H. Rao, and vice-president also participated in the discussions.","The Federation of Minor Minerals Industry (FEMMI) hosted a conference on minor mineral mining in India, where NITI Aayog's VK Saraswat stressed the need for a National Minor Mineral Policy. He proposed a unified policy and royalty system to enhance the sector. Discussions also focused on introducing a State Mineral Index and reforms to avoid delays in obtaining permissions. Key industry experts participated in discussions on mineral royalty laws."
"President Donald Trump stated that he has written to Iran offering talks on preventing the development of nuclear weapons, warning that Iran faces possible military action if talks are not held. Trump's Foreign Minister said on Friday that the country would not negotiate as long as the United States continues applying a 'maximum pressure' policy. Following the collapse of the Joint Comprehensive Plan of Action (JCPOA) after Trump withdrew from the agreement in 2018, Trump expressed his hope for negotiations, stating that if they did not occur, military action would be a terrible consequence for Iran. Trump emphasized that Iran must not be allowed to acquire nuclear weapons. Iran, however, has been cautious about returning to diplomacy, with Foreign Minister Abbas Araghchi stating that Iran would not enter any direct negotiations while the maximum pressure policy and threats continue.","President Trump expressed willingness to negotiate with Iran to prevent nuclear weapons development, warning of military action if talks do not take place. However, Iran's Foreign Minister, Abbas Araghchi, made it clear that Iran would not engage in talks as long as the U.S. maintains its maximum pressure policy. This comes after the 2018 collapse of the JCPOA, a nuclear deal with Iran under former President Obama."
"Pranav, a young athlete, has made history by becoming the World Junior Champion in his category. Competing against some of the finest athletes globally, Pranav displayed outstanding skills, securing a remarkable victory. He overcame tough competition in the finals, where his performances in both the first and second rounds earned him the championship title. His win has drawn attention and accolades from across the sports community, with many lauding his resilience and dedication. Pranav’s success has made him a prominent figure, and his achievement is seen as a stepping stone towards further success in the future.","Pranav has been crowned the World Junior Champion, showcasing his exceptional athletic abilities. His victory has earned him widespread recognition, highlighting his determination and skill, setting the stage for further success."
"Sri Lankan golfer Thangaraja triumphed at the Ahmedabad Open, securing the title with a five-shot margin over Yashas Chandra. The tournament took place at the Kensville Golf and Country Club, and Thangaraja finished with a four-day total of eight under par (280). He played a steady final round of one-over 73, earning a cheque of 25 lakh for his victory. Yashas Chandra, who also shot a final round of 73, finished as runner-up with a three-under 285, collecting a prize of 10 lakh. Michele Griolani of Italy took third place with a two-under 286. Thangaraja, with an overnight five-shot lead, played conservative golf to ensure his victory, with one birdie and two bogeys on the final day. He last won a title in 2017.","Thangaraja won the Ahmedabad Open with a five-shot lead over Yashas Chandra. He finished the tournament with an overall score of eight under 280, securing a prize of 25 lakh. Chandra placed second with a score of three-under 285, while Michele Griolani of Italy took third place. Thangaraja’s steady final round and solid performance ensured his fifth PGTI title."
"Rohit Sharma and KL Rahul faced injury scares ahead of the Boxing Day Test as the Indian team prepares for their upcoming match. During practice sessions, both players suffered injuries that required immediate medical attention. Rishabh Pant also sustained an injury and was taken off the field for treatment. The Indian team is now under pressure as these injuries come right before an important test match. Despite the injury concerns, the team is hopeful that the players will recover in time for the game.","Rohit Sharma and KL Rahul suffered injury scares ahead of the Boxing Day Test. Both required medical attention during practice, along with Rishabh Pant, who was also treated for an injury. The Indian team faces uncertainty about their fitness as the test approaches."
"On Saturday evening, Siddhartha Kala Peetham organized a cultural program at the Siddhartha Auditorium, which featured the mythological dance ballet 'Ksheera Sagara Madhanam.' The ballet, which depicted the story of the churning of the ocean (Samudra Manthan), was presented by Balatripura Sundari, daughter of the legendary Dr. Vempati Chinna Satyam. Trained under her father, Sundari carried forward his legacy through her dance school, Abhinayavam Net. The ballet, written by Devulapalli Krishna Sastry, had music composed by Dr. Bulantrapu Rajamkanta Rao. The performances of Lakshmi and Mohini were particularly noted for their grace and received much appreciation. Chavali Balatripura Sundari was honored for her exceptional contributions, with vocal performances from DNB Sastry and Darbha Mruduravali and instrumental accompaniment from K Rajagopalachari, Balasubramaniam, VBS Murali, and Sasidhar.","The cultural program 'Ksheera Sagara Madhanam,' presented by Balatripura Sundari, showcased the mythological story of the churning of the ocean. Sundari, daughter of Dr. Vempati Chinna Satyam, carried on her father's legacy through this performance. The ballet was well-received for the grace of the Lakshmi and Mohini characters. Sundari was honored for her contribution, and the program featured exceptional music and dance."
